Band,MJD,Flux,Error,Telescope
W1,58612.86312,4.508981,0.10002996,UVOT
U,58612.86373,2.9706892,0.064099,UVOT
B,58612.86454,1.697804,0.030067467,UVOT
B,58613.78963,1.677335,0.03779854,UVOT
W2,58614.65418,6.032419,0.086751023,UVOT
V,58614.65587,1.28246734,0.025538972,UVOT
HX,58614.6563,0.988122,0.069681,XRT
SX,58614.6563,0.430763,0.04551,XRT
M2,58614.6569,5.4709302,0.13002956,UVOT
W1,58614.65761,4.405056,0.09196846,UVOT
U,58614.65831,3.0670802,0.06274753,UVOT
B,58614.65909,1.6350182,0.031872256,UVOT
W2,58615.58555,5.863335,0.08711606,UVOT
V,58615.58713,1.27114954,0.026254083,UVOT
HX,58615.58763,1.065933,0.064932,XRT
SX,58615.58763,0.46734,0.043083,XRT
M2,58615.5881,5.142881,0.12931275,UVOT
W1,58615.58876,4.3427694,0.09407637,UVOT
U,58615.58942,3.0338728,0.063899795,UVOT
B,58615.59025,1.6456847,0.02992451,UVOT
W2,58616.65059,6.111957,0.086509026,UVOT
V,58616.65239,1.246115,0.024847494,UVOT
HX,58616.65272,0.901518,0.064334,XRT
SX,58616.65272,0.606241,0.05273,XRT
M2,58616.65349,5.2009124,0.12286802,UVOT
W1,58616.65425,4.268888,0.087638,UVOT
U,58616.655,2.904976,0.05846139,UVOT
B,58616.6557,1.5812182,0.035314805,UVOT
W2,58617.38345,6.2114715,0.09606472,UVOT
V,58617.3848,1.2422166,0.027982358,UVOT
HX,58617.38491,0.819165,0.071423,XRT
SX,58617.38491,0.581147,0.060144,XRT
M2,58617.38562,5.088678,0.13759931,UVOT
W1,58617.38619,4.3419658,0.10061811,UVOT
U,58617.38676,2.878273,0.065034814,UVOT
W2,58618.04883,6.163847,0.10547112,UVOT
V,58618.04985,1.2863535,0.032131398,UVOT
HX,58618.05,0.953132,0.077794,XRT
SX,58618.05,0.460371,0.054188,XRT
M2,58618.05048,5.054555,0.1551331,UVOT
W1,58618.05092,4.21074,0.11096718,UVOT
U,58618.05136,2.8815095,0.07274193,UVOT
W2,58618.11579,6.029478,0.11828121,UVOT
V,58618.11652,1.3328606,0.037720317,UVOT
HX,58618.11655,1.037383,0.109039,XRT
SX,58618.11655,0.386824,0.065712,XRT
M2,58618.11699,5.2565476,0.18693579,UVOT
W1,58618.11731,4.4837838,0.13625152,UVOT
U,58618.11763,2.878369,0.08431419,UVOT
W2,58623.70586,5.944147,0.084718854,UVOT
HX,58623.70668,1.167648,0.116426,XRT
SX,58623.70668,0.538189,0.078958,XRT
V,58623.70766,1.2600003,0.026030948,UVOT
M2,58623.70859,5.3327866,0.16632866,UVOT
W2,58624.49941,5.8979094,0.081794303,UVOT
V,58624.50139,1.2763219,0.024862926,UVOT
HX,58624.50173,0.940558,0.061204,XRT
SX,58624.50173,0.519045,0.045517,XRT
M2,58624.5026,5.2031472,0.11836813,UVOT
W1,58624.50342,4.1426342,0.082485297,UVOT
U,58624.50424,2.7962579,0.05452271,UVOT
B,58624.50499,1.5992434,0.035065536,UVOT
W2,58625.03021,5.97402,0.07434362,UVOT
V,58625.03319,1.2750029,0.021736222,UVOT
HX,58625.03385,1.040625,0.06433,XRT
SX,58625.03385,0.557637,0.047158,XRT
M2,58625.03499,5.0288394,0.09839166,UVOT
W1,58625.03621,4.2414396,0.07201112,UVOT
U,58625.03742,2.8593708,0.04861921,UVOT
B,58625.0387,1.6451138,0.027187677,UVOT
W2,58626.82112,5.8095896,0.06834183,UVOT
V,58626.82503,1.2591866,0.019592396,UVOT
HX,58626.8259,1.084305,0.052654,XRT
SX,58626.8259,0.464218,0.034551,XRT
M2,58626.8274,5.0972552,0.0900404,UVOT
W1,58626.82899,4.092238,0.063611867,UVOT
U,58626.83058,2.8630242,0.044845773,UVOT
B,58626.83224,1.6113794,0.024214486,UVOT
W2,58627.4924,5.7135035,0.0697422,UVOT
V,58627.49572,1.2029675,0.019836102,UVOT
HX,58627.49644,0.943799,0.074919,XRT
SX,58627.49644,0.437905,0.05115,XRT
M2,58627.49773,4.930007,0.09297799,UVOT
W1,58627.49909,4.1071482,0.067426173,UVOT
U,58627.50045,2.7851312,0.04561174,UVOT
B,58627.50184,1.5984332,0.025617855,UVOT
W2,58628.7452,5.720596,0.07144739,UVOT
V,58628.7482,1.2454471,0.020953016,UVOT
HX,58628.74898,1.0925,0.078698,XRT
SX,58628.74898,0.669058,0.061704,XRT
M2,58628.75002,4.932849,0.09672283,UVOT
W1,58628.75126,4.1134065,0.07003498,UVOT
U,58628.75248,2.7568263,0.04653995,UVOT
B,58628.75387,1.5612076,0.024489769,UVOT
W2,58629.74088,5.3451147,0.06569006,UVOT
V,58629.74423,1.2219934,0.019959917,UVOT
HX,58629.74463,1.064812,0.056593,XRT
SX,58629.74463,0.584398,0.041462,XRT
M2,58629.74626,4.901285,0.09240187,UVOT
W1,58629.74763,3.989993,0.0656623,UVOT
U,58629.749,2.8173835,0.04600329,UVOT
B,58629.75008,1.5267628,0.031107327,UVOT
W2,58629.93713,5.636305,0.08957963,UVOT
V,58629.93845,1.24357566,0.027948921,UVOT
HX,58629.93884,0.829665,0.086614,XRT
SX,58629.93884,0.634908,0.075918,XRT
M2,58629.93926,4.904666,0.13566705,UVOT
W1,58629.93981,3.9899887,0.09525058,UVOT
U,58629.94037,2.773077,0.06299833,UVOT
B,58629.94104,1.610944,0.032466794,UVOT
W2,58630.01634,5.61491,0.06922478,UVOT
V,58630.01954,1.209229,0.020039023,UVOT
HX,58630.02024,1.056548,0.063081,XRT
SX,58630.02024,0.600078,0.04764,XRT
M2,58630.02148,4.7166725,0.09123078,UVOT
W1,58630.02279,3.979699,0.066503,UVOT
U,58630.0241,2.7914628,0.04622383,UVOT
B,58630.02546,1.5325291,0.024977813,UVOT
V,58631.00863,1.2200951,0.019248623,UVOT
HX,58631.01026,0.892383,0.068079,XRT
SX,58631.01026,0.445845,0.048277,XRT
M2,58631.01094,4.7746627,0.08666269,UVOT
W1,58631.01248,3.984639,0.06291211,UVOT
U,58631.01402,2.7422241,0.043209319,UVOT
B,58631.01562,1.5519714,0.02375107,UVOT
W2,58632.06188,5.5559195,0.06842734,UVOT
V,58632.06513,1.2117319,0.020102432,UVOT
HX,58632.06592,0.916055,0.042691,XRT
SX,58632.06592,0.439418,0.02958,XRT
M2,58632.0671,4.8403596,0.09243657,UVOT
W1,58632.06844,3.9959064,0.06640035,UVOT
U,58632.06977,2.6923708,0.044251513,UVOT
B,58632.07122,1.6117663,0.024837904,UVOT
W2,58633.25555,5.418238,0.07658488,UVOT
V,58633.25748,1.246655,0.024163248,UVOT
HX,58633.25795,0.807036,0.056915,XRT
SX,58633.25795,0.416548,0.040934,XRT
M2,58633.25866,4.8199495,0.11341707,UVOT
W1,58633.25947,3.9411542,0.08003926,UVOT
U,58633.26026,2.802001,0.054708916,UVOT
B,58633.26112,1.565794,0.029498806,UVOT
W2,58634.12758,5.65346,0.076444903,UVOT
V,58634.12979,1.2597533,0.023141,UVOT
HX,58634.13033,0.996998,0.06981,XRT
SX,58634.13033,0.49764,0.049193,XRT
M2,58634.13114,4.8713542,0.10787784,UVOT
W1,58634.13206,4.208731,0.07983924,UVOT
U,58634.13297,2.8041234,0.052080906,UVOT
B,58634.13396,1.6123101,0.028439232,UVOT
W2,58635.78406,5.735813,0.06725142,UVOT
V,58635.7881,1.2207959,0.018921734,UVOT
HX,58635.78893,0.976773,0.053612,XRT
SX,58635.78893,0.408316,0.034831,XRT
M2,58635.79053,4.9995852,0.087849614,UVOT
W1,58635.79217,3.9700712,0.06144864,UVOT
U,58635.79381,2.7494014,0.042579232,UVOT
B,58635.79546,1.569837,0.02376093,UVOT
W2,58636.57452,5.7783754,0.08213305,UVOT
V,58636.57636,1.27512094,0.024898668,UVOT
HX,58636.57649,1.153919,0.080864,XRT
SX,58636.57649,0.438996,0.050125,XRT
M2,58636.57748,5.0607373,0.11975838,UVOT
W1,58636.57824,4.080684,0.08389164,UVOT
U,58636.57901,2.8018242,0.0556664,UVOT
W2,58637.03953,5.702997,0.077047213,UVOT
V,58637.04174,1.2165709,0.022509784,UVOT
HX,58637.04186,1.31423,0.088197,XRT
SX,58637.04186,0.621273,0.060673,XRT
M2,58637.04309,4.9979586,0.10994792,UVOT
W1,58637.04401,4.0895672,0.078026785,UVOT
U,58637.04492,2.7779082,0.05156389,UVOT
W2,58638.03367,5.722709,0.079157077,UVOT
V,58638.03565,1.2640233,0.023854555,UVOT
HX,58638.0362,1.018162,0.056962,XRT
SX,58638.0362,0.472336,0.038837,XRT
U,58638.03857,2.9838314,0.05698186,UVOT
B,58638.03952,1.6166002,0.02844223,UVOT
W2,58639.89304,5.502417,0.078105877,UVOT
V,58639.89494,1.2320359,0.02394731,UVOT
HX,58639.89545,1.101562,0.066989,XRT
SX,58639.89545,0.48031,0.04424,XRT
M2,58639.8961,5.0325595,0.11774406,UVOT
W1,58639.89689,3.9733397,0.081222254,UVOT
U,58639.89767,2.7788342,0.05436445,UVOT
B,58639.89857,1.5834857,0.028394482,UVOT
W2,58640.68983,6.029076,0.07523912,UVOT
V,58640.69276,1.2404406,0.02085817,UVOT
HX,58640.69354,1.163177,0.070793,XRT
SX,58640.69354,0.469273,0.045124,XRT
M2,58640.69453,5.0925552,0.10000444,UVOT
W1,58640.69573,4.18266,0.07170329,UVOT
U,58640.69692,2.788129,0.047262903,UVOT
B,58640.6983,1.6291432,0.024926345,UVOT
W2,58641.68497,5.9580806,0.07446144,UVOT
V,58641.68791,1.2267308,0.020672272,UVOT
HX,58641.68868,1.044568,0.060011,XRT
SX,58641.68868,0.484424,0.040946,XRT
M2,58641.68968,5.232393,0.10202466,UVOT
W1,58641.69088,4.222177,0.07223349,UVOT
U,58641.69207,2.8769247,0.048736836,UVOT
B,58641.69344,1.6132144,0.024714476,UVOT
W2,58642.88261,5.979678,0.07402528,UVOT
V,58642.88566,1.2551436,0.020798523,UVOT
HX,58642.88642,1.296322,0.070784,XRT
SX,58642.88642,0.579564,0.047425,XRT
B,58642.89139,1.6581256,0.025741985,UVOT
W2,58643.14521,6.185575,0.075193613,UVOT
V,58643.14846,1.2784075,0.020717724,UVOT
HX,58643.14926,1.209805,0.065614,XRT
SX,58643.14926,0.476617,0.041442,XRT
B,58643.15453,1.6570836,0.025044903,UVOT
W2,58644.14107,6.291068,0.07907311,UVOT
V,58644.14385,1.2283316,0.021040248,UVOT
HX,58644.14456,1.311161,0.068987,XRT
SX,58644.14456,0.563295,0.045215,XRT
M2,58644.14553,5.3305582,0.10542621,UVOT
W1,58644.14666,4.339075,0.075236743,UVOT
U,58644.1478,2.930438,0.050401303,UVOT
B,58644.14907,1.647575,0.025965385,UVOT
W2,58646.28062,6.417814,0.07862639,UVOT
V,58646.28369,1.2829234,0.021307277,UVOT
HX,58646.28402,1.170562,0.070169,XRT
SX,58646.28402,0.577042,0.049342,XRT
M2,58646.28554,5.3371824,0.10177459,UVOT
W1,58646.2868,4.5048702,0.075009246,UVOT
U,58646.28804,2.880112,0.04852675,UVOT
B,58646.28901,1.645131,0.035877068,UVOT
W2,58647.92449,6.30472,0.09199158,UVOT
HX,58647.92467,1.213511,0.105889,XRT
SX,58647.92467,0.436953,0.06342,XRT
V,58647.92567,1.2997826,0.042052494,UVOT
W2,58648.05819,6.258065,0.079247137,UVOT
V,58648.06089,1.2693264,0.021798328,UVOT
HX,58648.06146,1.169309,0.06657,XRT
SX,58648.06146,0.529384,0.044825,XRT
M2,58648.06253,5.42781,0.10778191,UVOT
W1,58648.06365,4.265979,0.074830956,UVOT
U,58648.06477,2.976473,0.05153051,UVOT
B,58648.06588,1.7042554,0.02905669,UVOT
W2,58649.662,6.237468,0.09097773,UVOT
V,58649.66362,1.3231477,0.026735626,UVOT
HX,58649.66404,0.969177,0.060962,XRT
SX,58649.66404,0.41743,0.040072,XRT
M2,58649.66461,5.6168327,0.13651218,UVOT
W1,58649.66528,4.3447223,0.09333438,UVOT
U,58649.66595,2.9075107,0.06060564,UVOT
B,58649.66671,1.7025674,0.032693714,UVOT
W2,58650.97639,6.094412,0.08588618,UVOT
V,58650.97822,1.2745721,0.024819818,UVOT
HX,58650.97881,0.902738,0.059062,XRT
SX,58650.97881,0.409297,0.039781,XRT
M2,58650.97933,5.292737,0.12352255,UVOT
W1,58650.9801,4.446143,0.08983123,UVOT
U,58650.98087,2.9135453,0.057568234,UVOT
B,58650.98183,1.6801547,0.028227362,UVOT
W2,58651.77309,6.287361,0.09158243,UVOT
V,58651.77473,1.3029893,0.026361185,UVOT
HX,58651.77515,1.171457,0.106743,XRT
SX,58651.77515,0.525664,0.071625,XRT
M2,58651.77572,5.200983,0.12932498,UVOT
W1,58651.77639,4.3247954,0.09294742,UVOT
U,58651.77706,2.9588728,0.06148908,UVOT
B,58651.77782,1.6972158,0.03219968,UVOT
W2,58652.70285,6.29775,0.0950251,UVOT
V,58652.70429,1.2542538,0.026818368,UVOT
HX,58652.70465,1.062355,0.07428,XRT
SX,58652.70465,0.490271,0.050565,XRT
M2,58652.70517,5.3405363,0.13847262,UVOT
W1,58652.70577,4.4367034,0.09950239,UVOT
U,58652.70637,3.1362194,0.068285546,UVOT
B,58652.70704,1.7250991,0.03464699,UVOT
W2,58653.76485,6.557258,0.09229567,UVOT
V,58653.76663,1.29830745,0.025404845,UVOT
HX,58653.76715,1.142888,0.082522,XRT
SX,58653.76715,0.444283,0.051554,XRT
M2,58653.76772,5.585677,0.13008487,UVOT
W1,58653.76846,4.6492937,0.09443311,UVOT
U,58653.76921,3.077,0.06158644,UVOT
B,58653.77009,1.7267063,0.030346718,UVOT
W2,58654.10493,6.5536986,0.080637796,UVOT
V,58654.10792,1.2755601,0.02118431,UVOT
HX,58654.10857,0.99199,0.0554,XRT
SX,58654.10857,0.438291,0.036829,XRT
M2,58654.10973,5.6075438,0.1067263,UVOT
W1,58654.11095,4.4007346,0.07421288,UVOT
U,58654.11216,2.9086915,0.04903096,UVOT
B,58654.11356,1.6750898,0.025499887,UVOT
W2,58655.55843,6.823948,0.081619613,UVOT
V,58655.56173,1.2850067,0.0206131,UVOT
HX,58655.56244,0.938367,0.053262,XRT
SX,58655.56244,0.40291,0.035004,XRT
M2,58655.56373,5.878957,0.10637575,UVOT
W1,58655.56508,4.6084406,0.07426103,UVOT
U,58655.56642,3.036458,0.049601085,UVOT
B,58655.56781,1.7304929,0.02693839,UVOT
W2,58656.88932,6.874031,0.082910264,UVOT
V,58656.8925,1.29733015,0.02107141,UVOT
HX,58656.8932,1.142479,0.059634,XRT
SX,58656.8932,0.467959,0.038277,XRT
M2,58656.89442,5.936487,0.10867532,UVOT
W1,58656.89572,4.6716442,0.07618977,UVOT
U,58656.89702,3.02624,0.04993224,UVOT
B,58656.89837,1.72575,0.027039907,UVOT
HX,58657.48984,1.237793,0.083527,XRT
SX,58657.48984,0.538365,0.055261,XRT
W2,58658.48218,6.809556,0.083715824,UVOT
V,58658.48513,1.2850966,0.021398153,UVOT
HX,58658.48589,1.249096,0.080766,XRT
SX,58658.48589,0.566257,0.054442,XRT
M2,58658.48691,5.7976356,0.10970659,UVOT
W1,58658.48813,4.4721845,0.07547498,UVOT
U,58658.48933,3.0926704,0.052240074,UVOT
B,58658.49069,1.7183209,0.026322044,UVOT
W2,58659.47459,6.928888,0.08641335,UVOT
V,58659.47732,1.2979169,0.022008162,UVOT
HX,58659.47798,1.202949,0.091531,XRT
SX,58659.47798,0.479221,0.057898,XRT
M2,58659.47898,5.851832,0.11346372,UVOT
W1,58659.48011,4.530826,0.078241545,UVOT
U,58659.48123,3.0837275,0.05326553,UVOT
B,58659.48245,1.7566916,0.02812713,UVOT
W2,58660.4784,6.708815,0.083092667,UVOT
V,58660.48125,1.3165858,0.021982907,UVOT
HX,58660.48194,1.121756,0.063622,XRT
SX,58660.48194,0.578794,0.045745,XRT
M2,58660.483,5.5951947,0.1080137,UVOT
W1,58660.48417,4.615822,0.078307645,UVOT
U,58660.48534,3.07972,0.05257619,UVOT
B,58660.4866,1.7503306,0.02800109,UVOT
V,58661.41426,1.30507135,0.022197662,UVOT
HX,58661.41487,1.000372,0.060367,XRT
SX,58661.41487,0.482405,0.041962,XRT
U,58661.41813,3.1150873,0.05440268,UVOT
B,58661.4193,1.698916,0.02870952,UVOT
W2,58662.40349,6.83441,0.08450286,UVOT
V,58662.40632,1.3456967,0.022351016,UVOT
HX,58662.40665,0.812488,0.044274,XRT
SX,58662.40665,0.442942,0.032721,XRT
M2,58662.40803,5.948814,0.11323551,UVOT
W1,58662.4092,4.663214,0.07911983,UVOT
U,58662.41035,3.0936703,0.05302136,UVOT
B,58662.41126,1.7253616,0.03644976,UVOT
W2,58663.394,6.980499,0.088739364,UVOT
V,58663.39649,1.3072584,0.022689472,UVOT
HX,58663.3968,0.807161,0.046373,XRT
SX,58663.3968,0.382868,0.03207,XRT
M2,58663.398,5.926293,0.1187518,UVOT
W1,58663.39902,4.6928817,0.08340997,UVOT
U,58663.40004,3.153745,0.05637859,UVOT
B,58663.40086,1.7458257,0.03745514,UVOT
W2,58664.72525,7.130304,0.09502881,UVOT
V,58664.7273,1.3094378,0.024206627,UVOT
HX,58664.72748,1.027128,0.063257,XRT
SX,58664.72748,0.422808,0.04056,XRT
M2,58664.72855,6.014579,0.12953239,UVOT
W1,58664.7294,4.6189286,0.088712736,UVOT
U,58664.73024,3.146901,0.060059893,UVOT
B,58664.73084,1.8260975,0.051334225,UVOT
HX,58665.66079,1.217185,0.102852,XRT
SX,58665.66079,0.351784,0.055977,XRT
W2,58666.51656,7.0552234,0.08844638,UVOT
V,58666.51919,1.3166515,0.022473666,UVOT
HX,58666.51984,1.039757,0.072494,XRT
SX,58666.51984,0.557651,0.053272,XRT
M2,58666.52078,6.051968,0.11791724,UVOT
W1,58666.52186,4.677139,0.081488847,UVOT
U,58666.52294,3.1762834,0.05573298,UVOT
B,58666.52412,1.742769,0.028011652,UVOT
W2,58667.18524,6.8720366,0.08336847,UVOT
V,58667.18835,1.3263854,0.021577341,UVOT
HX,58667.18909,1.259148,0.062678,XRT
SX,58667.18909,0.516923,0.040211,XRT
M2,58667.19024,5.987662,0.11021195,UVOT
W1,58667.19152,4.6732536,0.076782584,UVOT
U,58667.19279,2.908895,0.048448834,UVOT
B,58667.19417,1.7168072,0.02686728,UVOT
W2,58668.58099,7.088218,0.0873895,UVOT
V,58668.58382,1.34034045,0.022323786,UVOT
HX,58668.58428,1.195635,0.066788,XRT
SX,58668.58428,0.552237,0.045403,XRT
M2,58668.58554,6.014941,0.11430345,UVOT
W1,58668.5867,4.590619,0.078200056,UVOT
U,58668.58786,3.0789204,0.053041066,UVOT
B,58668.58889,1.7967466,0.033363638,UVOT
W2,58669.04588,6.810438,0.084531723,UVOT
V,58669.0487,1.3252738,0.022300514,UVOT
HX,58669.04937,1.312585,0.069266,XRT
SX,58669.04937,0.540106,0.044522,XRT
M2,58669.05042,5.6162476,0.10867941,UVOT
W1,58669.05159,4.7223205,0.0802293,UVOT
U,58669.05274,3.081394,0.05306969,UVOT
B,58669.05398,1.7744205,0.029251777,UVOT
W2,58673.6995,6.4515504,0.069437553,UVOT
HX,58673.70144,0.987628,0.056327,XRT
SX,58673.70144,0.533248,0.041555,XRT
V,58673.70529,1.29326295,0.019118251,UVOT
W2,58675.62918,6.3601305,0.077993216,UVOT
V,58675.63226,1.2969174,0.021686267,UVOT
HX,58675.63296,1.021091,0.05602,XRT
SX,58675.63296,0.501549,0.039487,XRT
M2,58675.63412,5.449072,0.103081,UVOT
W1,58675.63539,4.357552,0.07276178,UVOT
U,58675.63665,2.955948,0.0498037,UVOT
B,58675.63797,1.6374887,0.026845778,UVOT
W2,58676.88848,6.3578964,0.078541247,UVOT
V,58676.89147,1.3182722,0.022015423,UVOT
HX,58676.89215,0.972637,0.057358,XRT
SX,58676.89215,0.455624,0.039215,XRT
M2,58676.89328,5.45687,0.104578,UVOT
W1,58676.8945,4.292119,0.07278016,UVOT
U,58676.89572,2.9025353,0.0492004,UVOT
B,58676.89701,1.6616962,0.027015732,UVOT
W2,58677.02363,6.2683304,0.07916618,UVOT
V,58677.02637,1.28665635,0.022223265,UVOT
HX,58677.02681,1.089864,0.066212,XRT
SX,58677.02681,0.546881,0.046949,XRT
M2,58677.02803,5.4117176,0.10708261,UVOT
W1,58677.02916,4.3907142,0.076440425,UVOT
U,58677.03028,2.9448872,0.05125382,UVOT
B,58677.03128,1.6565952,0.032055983,UVOT
HX,58678.88239,1.218467,0.059817,XRT
SX,58678.88239,0.593388,0.041959,XRT
W2,58679.21999,6.19093,0.07578517,UVOT
V,58679.22314,1.2529761,0.02084956,UVOT
HX,58679.22349,1.19549,0.070202,XRT
SX,58679.22349,0.650678,0.05174,XRT
M2,58679.22505,5.3182593,0.10055986,UVOT
W1,58679.22634,4.31589,0.07162655,UVOT
U,58679.22762,2.8268329,0.047300697,UVOT
B,58679.2286,1.6370167,0.03564799,UVOT
W2,58680.8692,6.074836,0.075730876,UVOT
V,58680.87214,1.2483544,0.020957108,UVOT
HX,58680.87279,1.085683,0.059678,XRT
SX,58680.87279,0.453531,0.038653,XRT
M2,58680.87392,5.07472,0.09953498,UVOT
W1,58680.87513,4.125414,0.07066624,UVOT
U,58680.87633,2.8613603,0.04845485,UVOT
B,58680.87759,1.6209302,0.02657676,UVOT
HX,58681.93481,1.109909,0.067579,XRT
SX,58681.93481,0.502924,0.045593,XRT
W2,58682.06397,5.689414,0.071751833,UVOT
V,58682.06687,1.26324715,0.02123222,UVOT
HX,58682.06741,0.987661,0.057975,XRT
SX,58682.06741,0.450072,0.039241,XRT
M2,58682.06862,4.9491735,0.09845069,UVOT
W1,58682.06981,4.0375428,0.06992456,UVOT
W2,58683.12528,5.7816375,0.072123267,UVOT
V,58683.12824,1.2525261,0.020862494,UVOT
HX,58683.12906,0.844404,0.042504,XRT
SX,58683.12906,0.400134,0.02932,XRT
M2,58683.13005,5.0268563,0.09802717,UVOT
W1,58683.13126,4.1234194,0.07026062,UVOT
U,58683.13248,2.9399944,0.049486153,UVOT
B,58683.13379,1.6491986,0.026020143,UVOT
W2,58684.12082,5.699248,0.072316465,UVOT
V,58684.12364,1.2390236,0.021101355,UVOT
HX,58684.12434,0.964967,0.062335,XRT
SX,58684.12434,0.49565,0.044816,XRT
M2,58684.12535,4.957833,0.09934818,UVOT
W1,58684.12651,4.1038496,0.071353897,UVOT
U,58684.12766,2.7895165,0.047651787,UVOT
B,58684.12894,1.6577692,0.02625329,UVOT
HX,58686.04927,0.982079,0.055368,XRT
SX,58686.04927,0.498174,0.039439,XRT
W2,58687.90442,5.4236556,0.06935972,UVOT
V,58687.90722,1.2374121,0.021079914,UVOT
HX,58687.9078,0.850257,0.054592,XRT
SX,58687.9078,0.532927,0.043362,XRT
M2,58687.90891,4.8785574,0.09856073,UVOT
W1,58687.91006,3.9321777,0.06913464,UVOT
U,58687.91122,2.8113113,0.048163527,UVOT
B,58687.91238,1.5912232,0.02694902,UVOT
W2,58688.10395,5.4188787,0.06999494,UVOT
V,58688.10666,1.2483398,0.021532794,UVOT
HX,58688.10692,0.888347,0.081567,XRT
SX,58688.10692,0.426016,0.056703,XRT
M2,58688.1083,4.607291,0.09565447,UVOT
U,58688.11053,2.7373427,0.04739575,UVOT
B,58688.11133,1.5799792,0.03897295,UVOT
W2,58689.17148,5.345817,0.06921376,UVOT
HX,58689.17411,0.638211,0.039833,XRT
SX,58689.17411,0.418105,0.03233,XRT
V,58689.17417,1.2272583,0.021253974,UVOT
M2,58689.17579,4.5284875,0.09509471,UVOT
W1,58689.1769,3.920615,0.070084284,UVOT
U,58689.178,2.8163019,0.04894612,UVOT
B,58689.17874,1.6626118,0.04541691,UVOT
W2,58690.69164,5.064298,0.066593127,UVOT
V,58690.69426,1.1982203,0.02105696,UVOT
HX,58690.69487,0.678058,0.039566,XRT
SX,58690.69487,0.32035,0.027218,XRT
M2,58690.69586,4.4605236,0.09481437,UVOT
W1,58690.69694,3.7608876,0.06842356,UVOT
U,58690.69802,2.6676449,0.04669421,UVOT
B,58690.69917,1.570977,0.026355544,UVOT
W2,58691.02286,4.991227,0.0645883,UVOT
V,58691.02568,1.2352108,0.021057444,UVOT
HX,58691.02641,0.881185,0.059795,XRT
SX,58691.02641,0.448124,0.042793,XRT
M2,58691.02739,4.365162,0.09068248,UVOT
W1,58691.02856,3.6527303,0.065029954,UVOT
B,58691.03101,1.5342052,0.02437525,UVOT
W2,58692.09489,5.1066512,0.06420226,UVOT
V,58692.09803,1.2256164,0.020276002,UVOT
HX,58692.09879,0.964963,0.053395,XRT
SX,58692.09879,0.47361,0.037489,XRT
M2,58692.09993,4.397477,0.08780818,UVOT
W1,58692.1012,3.7423457,0.06397218,UVOT
U,58692.10247,2.593474,0.043168314,UVOT
B,58692.10387,1.5201655,0.023847035,UVOT
W2,58693.67873,5.4074407,0.069730256,UVOT
V,58693.68143,1.2408108,0.021328132,UVOT
HX,58693.68215,0.85572,0.045115,XRT
SX,58693.68215,0.390805,0.030499,XRT
M2,58693.68306,4.5923643,0.09563057,UVOT
W1,58693.68417,3.737614,0.06740649,UVOT
U,58693.68527,2.72314,0.047297986,UVOT
B,58693.68654,1.5592223,0.02445855,UVOT
W2,58695.60293,5.456485,0.070018825,UVOT
V,58695.60567,1.2259032,0.021063003,UVOT
HX,58695.60638,0.959967,0.069531,XRT
SX,58695.60638,0.475051,0.049028,XRT
M2,58695.60734,4.645837,0.09592058,UVOT
W1,58695.60847,3.8198624,0.068077436,UVOT
U,58695.6096,2.6872605,0.046366996,UVOT
B,58695.61087,1.5172691,0.02413017,UVOT
W2,58696.79776,5.2808896,0.06863561,UVOT
V,58696.80044,1.2009271,0.020941042,UVOT
HX,58696.80105,1.126747,0.06746,XRT
SX,58696.80105,0.418755,0.041231,XRT
M2,58696.80206,4.765153,0.09847267,UVOT
W1,58696.80316,3.794627,0.068338946,UVOT
U,58696.80426,2.6772518,0.046517175,UVOT
B,58696.80541,1.5633514,0.026186484,UVOT
V,58697.73047,1.1487258,0.019357945,UVOT
HX,58697.73098,1.0644,0.065299,XRT
SX,58697.73098,0.440309,0.042101,XRT
W2,58698.66151,5.53182,0.06868745,UVOT
V,58698.66465,1.22119484,0.020192831,UVOT
HX,58698.66542,1.135251,0.058575,XRT
SX,58698.66542,0.567955,0.041477,XRT
M2,58698.66655,4.77198,0.09273679,UVOT
W1,58698.66784,3.8643893,0.065372446,UVOT
U,58698.66912,2.6938297,0.044546453,UVOT
B,58698.67053,1.5590527,0.024048576,UVOT
W2,58699.06531,5.51839,0.06914536,UVOT
V,58699.06834,1.2042421,0.020211053,UVOT
HX,58699.06896,1.228451,0.069628,XRT
SX,58699.06896,0.531256,0.045673,XRT
M2,58699.07018,4.664364,0.09259856,UVOT
W1,58699.07142,3.9316952,0.06722964,UVOT
U,58699.07266,2.7054178,0.045322674,UVOT
B,58699.07402,1.6193815,0.025271855,UVOT
W2,58700.71448,5.4265413,0.06755867,UVOT
V,58700.71763,1.2158319,0.020173702,UVOT
HX,58700.71795,1.229092,0.090159,XRT
SX,58700.71795,0.488902,0.057448,XRT
M2,58700.71954,4.6744252,0.09132093,UVOT
W1,58700.72083,3.865898,0.065462724,UVOT
U,58700.72212,2.7297268,0.04514572,UVOT
B,58700.72307,1.6044596,0.03527299,UVOT
HX,58701.77975,1.18585,0.064398,XRT
SX,58701.77975,0.512468,0.042378,XRT
V,58702.77428,1.1839088,0.01966863,UVOT
HX,58702.77507,1.162393,0.05898,XRT
SX,58702.77507,0.633991,0.043629,XRT
W1,58702.77751,3.775133,0.063987733,UVOT
B,58702.78024,1.5435503,0.023695532,UVOT
W2,58703.70198,5.2753246,0.07078118,UVOT
V,58703.70435,1.1951763,0.021676318,UVOT
