Band,MJD,Flux,Error,Telescope
W1,58436.37565,2.665169,0.05402547,UVOT
U,58436.37643,1.9282112,0.04541371,UVOT
B,58436.37696,1.1836257,0.029456092,UVOT
HX,58436.37804,1.23163,0.088947,XRT
SX,58436.37804,0.571942,0.060636,XRT
W2,58436.37825,3.5122438,0.05709369,UVOT
V,58436.37952,0.9868026,0.032289619,UVOT
M2,58436.38041,3.164111,0.07043109,UVOT
W1,58437.35199,2.7335186,0.05879195,UVOT
U,58437.35266,2.0289985,0.05048088,UVOT
B,58437.35312,1.1353693,0.030586463,UVOT
HX,58437.35385,1.242331,0.089389,XRT
SX,58437.35385,0.586278,0.061645,XRT
W2,58437.35422,3.654178,0.06218507,UVOT
V,58437.3553,1.009385,0.034970785,UVOT
M2,58437.35613,3.1822177,0.071891895,UVOT
W1,58438.34584,2.7018045,0.050235036,UVOT
U,58438.3468,1.9440697,0.042144775,UVOT
B,58438.34745,1.1727078,0.026841683,UVOT
HX,58438.34884,1.008096,0.071206,XRT
SX,58438.34884,0.549911,0.052834,XRT
W2,58438.34903,3.700143,0.055404023,UVOT
V,58438.35059,0.9445848,0.02855911,UVOT
M2,58438.35174,3.2133703,0.06363767,UVOT
U,58439.68362,2.008128,0.045307946,UVOT
B,58439.68421,1.2101358,0.028821598,UVOT
HX,58439.6855,0.834707,0.056165,XRT
SX,58439.6855,0.505303,0.043866,XRT
W2,58439.6856,3.7844673,0.05861024,UVOT
V,58439.68698,0.9248374,0.029658295,UVOT
W1,58440.60324,2.7196041,0.057668147,UVOT
U,58440.60393,1.9218671,0.047902053,UVOT
B,58440.60441,1.197,0.031841011,UVOT
HX,58440.60541,1.068465,0.098393,XRT
SX,58440.60541,0.53674,0.069888,XRT
V,58440.60666,1.019843,0.034855104,UVOT
M2,58440.60751,3.1203874,0.07050057,UVOT
W1,58441.46653,2.731255,0.05727305,UVOT
U,58441.46724,1.9737277,0.04852485,UVOT
B,58441.46773,1.18818495,0.031356117,UVOT
W2,58441.4689,3.6681246,0.061014875,UVOT
HX,58441.46899,1.230461,0.088211,XRT
SX,58441.46899,0.74452,0.068624,XRT
V,58441.47005,0.938102,0.03279595,UVOT
M2,58441.47115,3.1787646,0.062240833,UVOT
W1,58442.39585,2.7983692,0.052528574,UVOT
U,58442.39677,1.9683768,0.0433725,UVOT
B,58442.3974,1.20157925,0.027975232,UVOT
HX,58442.39886,1.0907,0.074655,XRT
SX,58442.39886,0.497156,0.050521,XRT
W2,58442.3989,3.9043835,0.05861511,UVOT
V,58442.40039,0.9802868,0.02973394,UVOT
M2,58442.40163,3.213804,0.06083098,UVOT
W1,58443.26914,2.7981569,0.05396319,UVOT
U,58443.26998,1.9125962,0.043461864,UVOT
B,58443.27057,1.2077393,0.028807193,UVOT
HX,58443.27189,1.424904,0.089537,XRT
SX,58443.27189,0.595007,0.057852,XRT
W2,58443.27197,3.947246,0.06050908,UVOT
V,58443.27335,0.9713271,0.030659787,UVOT
M2,58443.27456,3.4234785,0.06387815,UVOT
W1,58444.53188,2.8855817,0.059508485,UVOT
U,58444.53259,2.0223332,0.04924674,UVOT
B,58444.53309,1.2139776,0.031407976,UVOT
HX,58444.53397,1.035686,0.084314,XRT
SX,58444.53397,0.610976,0.064779,XRT
W2,58444.53426,3.8475865,0.06317825,UVOT
V,58444.53542,0.9529562,0.03298401,UVOT
M2,58444.53612,3.442016,0.084605245,UVOT
W1,58445.53319,2.731125,0.049699505,UVOT
U,58445.53418,1.9792532,0.042099663,UVOT
B,58445.53485,1.2064013,0.026918352,UVOT
HX,58445.53488,0.932937,0.070042,XRT
SX,58445.53488,0.541006,0.053671,XRT
W2,58445.53624,3.880547,0.060745825,UVOT
W1,58446.32794,2.7891445,0.055798264,UVOT
U,58446.32871,2.0276683,0.04741803,UVOT
B,58446.32925,1.15939684,0.02905561,UVOT
HX,58446.33023,1.050198,0.092791,XRT
SX,58446.33023,0.524027,0.065511,XRT
W2,58446.33053,3.9181162,0.0620888,UVOT
V,58446.33179,0.9922155,0.03237068,UVOT
M2,58446.33258,3.174341,0.075546503,UVOT
W1,58447.58975,2.8510343,0.05492802,UVOT
U,58447.59059,2.1196886,0.04799569,UVOT
B,58447.59116,1.2005979,0.02897344,UVOT
HX,58447.59168,1.237373,0.105709,XRT
SX,58447.59168,0.484171,0.066417,XRT
W2,58447.59254,4.0613295,0.062215173,UVOT
V,58447.5939,1.0041908,0.031600811,UVOT
W1,58448.58165,2.7443715,0.050971335,UVOT
U,58448.58259,1.9919116,0.043276353,UVOT
B,58448.58323,1.2055516,0.027545654,UVOT
W2,58448.58477,3.7595547,0.05633567,UVOT
HX,58448.5848,1.108662,0.083249,XRT
SX,58448.5848,0.575011,0.059961,XRT
V,58448.58631,1.0217825,0.030253447,UVOT
M2,58448.58765,3.2174187,0.0587744,UVOT
W1,58449.03652,2.7493432,0.05231724,UVOT
U,58449.0374,2.0019444,0.04372307,UVOT
B,58449.03804,1.2162481,0.028144957,UVOT
W2,58449.03959,3.7864067,0.056724044,UVOT
HX,58449.03969,0.987253,0.088491,XRT
SX,58449.03969,0.495613,0.062935,XRT
V,58449.04112,0.98598404,0.029591257,UVOT
M2,58449.04249,3.2560356,0.05887202,UVOT
W1,58450.63858,2.7726729,0.05424511,UVOT
U,58450.6394,1.9801386,0.04554438,UVOT
B,58450.63996,1.2217546,0.02958441,UVOT
HX,58450.6411,1.017214,0.06265,XRT
SX,58450.6411,0.473236,0.042806,XRT
W2,58450.6413,3.6845442,0.058139844,UVOT
V,58450.64263,0.99625305,0.031677246,UVOT
M2,58450.64357,3.1944106,0.06917917,UVOT
W1,58451.3692,2.6840965,0.05030128,UVOT
